CODE,SALE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DISTRICT,DATE
1580,30656.12,FC KATTIYA JUNCTION,"KATTIYA JUNCTION, Sri Lanka",6.8694191,79.8979063,Cargills,Colombo,04-03-2025
1582,12894.52,FC GODAGAMA,"GODAGAMA, Sri Lanka",6.8516746,80.0327001,Cargills,Colombo,04-03-2025
1583,20712.82,FC SARANANKARA ROAD,"SARANANKARA ROAD, Sri Lanka",6.860707,79.8688827,Cargills,Colombo,04-03-2025
1588,11137.55,FC HOMAGAMA 3,"HOMAGAMA , Sri Lanka",6.8432762,80.0031833,Cargills,Colombo,04-03-2025
1590,14295.66,FC ATHURUGIRIYA 2,"ATHURUGIRIYA , Sri Lanka",6.8723185,80.0003875,Cargills,Colombo,04-03-2025
1596,24148.6,FC MALABE 03,"MALABE , Sri Lanka",6.9060787,79.9696277,Cargills,Colombo,04-03-2025
1618,8183.48,FC POLGASOWITA,"POLGASOWITA, Sri Lanka",6.7899358,79.9808143,Cargills,Colombo,04-03-2025
1652,19430.35,FC KIRIBATHGODA 03,"KIRIBATHGODA , Sri Lanka",6.9778284,79.9271523,Cargills,Gampaha,04-03-2025
1654,8174.7,FC MAHARA,"MAHARA, Sri Lanka",6.9908661,79.9395566,Cargills,Gampaha,04-03-2025
1657,9951.65,FC OBESEKARAPURA,"OBESEKARAPURA, Sri Lanka",6.9189465,79.8898816,Cargills,Colombo,04-03-2025
1665,7217.64,FC KIRIBATHGODA 04,"KIRIBATHGODA , Sri Lanka",6.9778284,79.9271523,Cargills,Gampaha,04-03-2025
1679,21596.42,FC HOKANDARA 02,"HOKANDARA , Sri Lanka",6.8743192,79.9696277,Cargills,Colombo,04-03-2025
1681,19575.77,FC PITAKOTTE 02,"PITAKOTTE , Sri Lanka",6.8808992,79.9052768,Cargills,Colombo,04-03-2025
1682,16122.72,FC DELKANDA 02,"DELKANDA , Sri Lanka",6.8646859,79.8949669,Cargills,Colombo,04-03-2025
1683,10369.66,FC ATTIDIYA 02,"ATTIDIYA , Sri Lanka",6.8261828,79.881483,Cargills,Colombo,04-03-2025
1698,8214.35,FC KOTTAWA 03,"KOTTAWA , Sri Lanka",6.8411652,79.9654324,Cargills,Colombo,04-03-2025
1720,4351.79,EX GODIGAMUWA,"GODIGAMUWA, Sri Lanka",6.7206865,79.9868167,Cargills,Kalutara,04-03-2025
1730,16658.95,EX PANNIPITIYA OLD ROAD,"PANNIPITIYA OLD ROAD, Sri Lanka",6.846609,79.9512139,Cargills,Colombo,04-03-2025
1747,12003.71,EX ICONIC RESIDENCE,"ICONIC RESIDENCE, Sri Lanka",6.8909701,79.9227651,Cargills,Colombo,04-03-2025
1750,18358.01,EX MAGAMMANA,"MAGAMMANA, Sri Lanka",7.0144382,79.8954802,Cargills,Gampaha,04-03-2025
1752,4351.79,EX KALUBOWILA,"KALUBOWILA, Sri Lanka",6.8631414,79.8786833,Cargills,Colombo,04-03-2025
1765,32359.42,EX DIYAGAMA NDT,"DIYAGAMA NDT, Sri Lanka",6.6307411,80.0045811,Cargills,Kalutara,04-03-2025
1771,8379.88,EX JAYA MAWATHA,"JAYA MAWATHA, Sri Lanka",7.0300386,79.9877414,Cargills,Gampaha,04-03-2025
1775,5625.06,EX KURUDUGAHAHETHEKMA,"KURUDUGAHAHETHEKMA, Sri Lanka",6.2706622,80.144254,Cargills,Galle,04-03-2025
1794,8816.86,EX MILLENNIUM CITY,"MILLENNIUM CITY, Sri Lanka",7.121557,79.9101748,Cargills,Gampaha,04-03-2025
1833,61607.76,EX NSBM,"NSBM, Sri Lanka",6.8213291,80.0415729,Cargills,Colombo,04-03-2025
1837,10981.37,EX MADURANKULIYA,"MADURANKULIYA, Sri Lanka",7.9080663,79.82127,Cargills,Puttalam,04-03-2025
1846,52948.93,EX MALAPALLA,"MALAPALLA, Sri Lanka",6.8468057,79.9822126,Cargills,Colombo,04-03-2025
1849,54125.2,EX DANGEDARA,"DANGEDARA, Sri Lanka",6.0521364,80.2167942,Cargills,Galle,04-03-2025
1890,15757.95,EX RATHMALDENIYA,"RATHMALDENIYA, Sri Lanka",6.8395208,79.9500477,Cargills,Colombo,04-03-2025
1894,8276.79,EX HOMAGAMA (KATUWANA ROAD),"HOMAGAMA (KATUWANA ROAD), Sri Lanka",6.8341477,80.0039686,Cargills,Colombo,04-03-2025
1903,6786.32,FC KOTIKAWATTA 02,"KOTIKAWATTA , Sri Lanka",6.9345136,79.9059766,Cargills,Colombo,04-03-2025
1907,24129.35,FC RAJAGIRIYA 03,"RAJAGIRIYA , Sri Lanka",6.9094108,79.8942538,Cargills,Colombo,04-03-2025
